,oos_equity
2021-08-18,1038853.8443293498
2021-08-19,1038853.8443293498
2021-08-20,1038853.8443293498
2021-08-23,1038853.8443293498
2021-08-24,1038853.8443293498
2021-08-25,1038853.8443293498
2021-08-26,1038853.8443293498
2021-08-27,1038853.8443293498
2021-08-30,1038853.8443293498
2021-08-31,1038853.8443293498
2021-09-01,1038853.8443293498
2021-09-02,1038853.8443293498
2021-09-03,1038853.8443293498
2021-09-07,1038853.8443293498
2021-09-08,1038853.8443293498
2021-09-09,1038853.8443293498
2021-09-10,1038853.8443293498
2021-09-13,1038853.8443293498
2021-09-14,1038853.8443293498
2021-09-15,1038853.8443293498
2021-09-16,1038853.8443293498
2021-09-17,1038853.8443293498
2021-09-20,1038853.8443293498
2021-09-21,1038853.8443293498
2021-09-22,1038853.8443293498
2021-09-23,1038853.8443293498
2021-09-24,1038853.8443293498
2021-09-27,1038853.8443293498
2021-09-28,1038853.8443293498
2021-09-29,1038853.8443293498
2021-09-30,1038853.8443293498
2021-10-01,1038853.8443293498
2021-10-04,1038853.8443293498
2021-10-05,1038853.8443293498
2021-10-06,1038853.8443293498
2021-10-07,1038853.8443293498
2021-10-08,1038853.8443293498
2021-10-11,1038853.8443293498
2021-10-12,1038728.8493253029
2021-10-13,1039213.703458088
2021-10-14,1038406.3592317118
2021-10-15,1040380.316289034
2021-10-18,1042099.5284203145
2021-10-19,1042099.5284203145
2021-10-20,1042099.5284203145
2021-10-21,1042099.5284203145
2021-10-22,1042099.5284203145
2021-10-25,1042099.5284203145
2021-10-26,1042099.5284203145
2021-10-27,1042099.5284203145
2021-10-28,1042099.5284203145
2021-10-29,1042099.5284203145
2021-11-01,1042099.5284203145
2021-11-02,1042099.5284203145
2021-11-03,1042099.5284203145
2021-11-04,1041911.857747613
2021-11-05,1043439.0477147624
2021-11-08,1043191.4193959682
2021-11-09,1041753.817141486
2021-11-10,1042561.850231847
2021-11-11,1042561.850231847
2021-11-12,1042561.850231847
2021-11-15,1042561.850231847
2021-11-16,1042561.850231847
2021-11-17,1042561.850231847
2021-11-18,1042561.850231847
2021-11-19,1042561.850231847
2021-11-22,1042561.850231847
2021-11-23,1042561.850231847
2021-11-24,1042561.850231847
2021-11-26,1042444.0434722155
2021-11-29,1040645.8132406295
2021-11-30,1040007.4347136718
2021-12-01,1039868.4663117941
2021-12-02,1039960.3663842945
2021-12-03,1039109.3335419188
2021-12-06,1038471.8819801741
2021-12-07,1040931.9423460497
2021-12-08,1040062.8840140895
2021-12-09,1040659.1652025399
2021-12-10,1040413.7455476099
2021-12-13,1039885.4617913014
2021-12-14,1039490.7106656426
2021-12-15,1039319.0639402325
2021-12-16,1040609.5691488034
2021-12-17,1039716.4279536526
2021-12-20,1038344.4470184817
2021-12-21,1038903.2356661265
2021-12-22,1039856.9972182123
2021-12-23,1039789.2612112145
2021-12-27,1039323.5672921746
2021-12-28,1038813.4315904691
2021-12-29,1038131.5209188852
2021-12-30,1038339.8526008967
2021-12-31,1037081.968301162
2022-01-03,1038107.3807129044
2022-01-04,1038194.0365966391
2022-01-05,1038194.0365966391
2022-01-06,1038194.0365966391
2022-01-07,1038194.0365966391
2022-01-10,1038194.0365966391
2022-01-11,1038194.0365966391
2022-01-12,1038194.0365966391
2022-01-13,1038194.0365966391
2022-01-14,1038007.9520629261
2022-01-18,1038790.2926972761
2022-01-19,1040734.7336822381
2022-01-20,1040617.9578803912
2022-01-21,1041271.4565509009
2022-01-24,1041458.8175206049
2022-01-25,1041603.2881897923
2022-01-26,1041174.0464204889
2022-01-27,1041491.7788703503
2022-01-28,1042884.735271088
2022-01-31,1042559.4248251154
2022-02-01,1040903.5839543806
2022-02-02,1041064.8736524644
2022-02-03,1040655.4543227737
2022-02-04,1035252.6518129343
2022-02-07,1033083.2818540019
2022-02-08,1034085.8530094108
2022-02-09,1034233.7410530973
2022-02-10,1034233.7410530973
2022-02-11,1034233.7410530973
2022-02-14,1034233.7410530973
2022-02-15,1034233.7410530973
2022-02-16,1034233.7410530973
2022-02-17,1034233.7410530973
2022-02-18,1034233.7410530973
2022-02-22,1034233.7410530973
2022-02-23,1034233.7410530973
2022-02-24,1034233.7410530973
2022-02-25,1034233.7410530973
2022-02-28,1034233.7410530973
2022-03-01,1034233.7410530973
2022-03-02,1034233.7410530973
2022-03-03,1034233.7410530973
2022-03-04,1034233.7410530973
2022-03-07,1034233.7410530973
2022-03-08,1034233.7410530973
2022-03-09,1020493.0688149611
2022-03-10,1018899.2891361681
2022-03-11,1018417.9625893696
2022-03-14,1017141.1934598342
2022-03-15,1017141.1934598342
2022-03-16,1017141.1934598342
2022-03-17,1017141.1934598342
2022-03-18,1017141.1934598342
2022-03-21,1017141.1934598342
2022-03-22,1017141.1934598342
2022-03-23,1017141.1934598342
2022-03-24,1017141.1934598342
2022-03-25,1017141.1934598342
2022-03-28,1017141.1934598342
2022-03-29,1017141.1934598342
2022-03-30,1017141.1934598342
2022-03-31,1017141.1934598342
2022-04-01,1017141.1934598342
2022-04-04,1017141.1934598342
2022-04-05,1017104.837593569
2022-04-06,1019915.4361115841
2022-04-07,1020137.7665101248
2022-04-08,1021375.4951806624
2022-04-11,1022334.48806346
2022-04-12,1025919.5513704305
2022-04-13,1025845.2218270331
2022-04-14,1025793.4544393152
2022-04-18,1027440.6538301901
2022-04-19,1028077.7714354828
2022-04-20,1031035.4909006914
2022-04-21,1030334.6706488463
2022-04-22,1030540.8634937785
2022-04-25,1030582.6986722095
2022-04-26,1030398.4401636916
2022-04-27,1030357.8344404658
2022-04-28,1030453.0919988224
2022-04-29,1030535.2203842433
2022-05-02,1030507.8104790881
2022-05-03,1030509.1832173488
2022-05-04,1030509.2375544729
2022-05-05,1030497.0098643145
2022-05-06,1030503.0282607697
2022-05-09,1030505.2699318726
2022-05-10,1030504.4609640876
2022-05-11,1030504.4044202956
2022-05-12,1030503.2823047609
2022-05-13,1030500.5560126681
2022-05-16,1030501.2901926606
2022-05-17,1030500.8474255682
2022-05-18,1030501.3093193283
2022-05-19,1030499.9697225654
2022-05-20,1030499.8983924391
2022-05-23,1030499.9543811382
2022-05-24,1030499.9345483368
2022-05-25,1030499.559806346
2022-05-26,1030499.6907663875
2022-05-27,1030499.6758738676
2022-05-31,1030499.7778040563
2022-06-01,1030499.8308033755
2022-06-02,1030499.9079645736
2022-06-03,1030499.8966078194
2022-06-06,1030499.9401617019
2022-06-07,1030499.9728743192
2022-06-08,1030499.987667676
2022-06-09,1030500.0017681622
2022-06-10,1030500.0016015349
2022-06-13,1030500.003012467
2022-06-14,1030500.0009139011
2022-06-15,1030500.0047227438
2022-06-16,1030500.0005219697
2022-06-17,1030499.9944862555
